id_data,data,ano,trimestre,mes,nome_mes,semana_ano,dia_semana,nome_dia,fim_semana
288,2022-10-15,2022,4,10,Outubro,41,5,Sabado,1
289,2022-10-16,2022,4,10,Outubro,41,6,Domingo,1
290,2022-10-17,2022,4,10,Outubro,42,0,Segunda,0
291,2022-10-18,2022,4,10,Outubro,42,1,Terca,0
292,2022-10-19,2022,4,10,Outubro,42,2,Quarta,0
293,2022-10-20,2022,4,10,Outubro,42,3,Quinta,0
294,2022-10-21,2022,4,10,Outubro,42,4,Sexta,0
295,2022-10-22,2022,4,10,Outubro,42,5,Sabado,1
296,2022-10-23,2022,4,10,Outubro,42,6,Domingo,1
297,2022-10-24,2022,4,10,Outubro,43,0,Segunda,0
298,2022-10-25,2022,4,10,Outubro,43,1,Terca,0
299,2022-10-26,2022,4,10,Outubro,43,2,Quarta,0
300,2022-10-27,2022,4,10,Outubro,43,3,Quinta,0
301,2022-10-28,2022,4,10,Outubro,43,4,Sexta,0
302,2022-10-29,2022,4,10,Outubro,43,5,Sabado,1
303,2022-10-30,2022,4,10,Outubro,43,6,Domingo,1
304,2022-10-31,2022,4,10,Outubro,44,0,Segunda,0
305,2022-11-01,2022,4,11,Novembro,44,1,Terca,0
306,2022-11-02,2022,4,11,Novembro,44,2,Quarta,0
307,2022-11-03,2022,4,11,Novembro,44,3,Quinta,0
308,2022-11-04,2022,4,11,Novembro,44,4,Sexta,0
309,2022-11-05,2022,4,11,Novembro,44,5,Sabado,1
310,2022-11-06,2022,4,11,Novembro,44,6,Domingo,1
311,2022-11-07,2022,4,11,Novembro,45,0,Segunda,0
312,2022-11-08,2022,4,11,Novembro,45,1,Terca,0
313,2022-11-09,2022,4,11,Novembro,45,2,Quarta,0
314,2022-11-10,2022,4,11,Novembro,45,3,Quinta,0
315,2022-11-11,2022,4,11,Novembro,45,4,Sexta,0
316,2022-11-12,2022,4,11,Novembro,45,5,Sabado,1
317,2022-11-13,2022,4,11,Novembro,45,6,Domingo,1
318,2022-11-14,2022,4,11,Novembro,46,0,Segunda,0
319,2022-11-15,2022,4,11,Novembro,46,1,Terca,0
320,2022-11-16,2022,4,11,Novembro,46,2,Quarta,0
321,2022-11-17,2022,4,11,Novembro,46,3,Quinta,0
322,2022-11-18,2022,4,11,Novembro,46,4,Sexta,0
323,2022-11-19,2022,4,11,Novembro,46,5,Sabado,1
324,2022-11-20,2022,4,11,Novembro,46,6,Domingo,1
325,2022-11-21,2022,4,11,Novembro,47,0,Segunda,0
326,2022-11-22,2022,4,11,Novembro,47,1,Terca,0
327,2022-11-23,2022,4,11,Novembro,47,2,Quarta,0
328,2022-11-24,2022,4,11,Novembro,47,3,Quinta,0
329,2022-11-25,2022,4,11,Novembro,47,4,Sexta,0
330,2022-11-26,2022,4,11,Novembro,47,5,Sabado,1
331,2022-11-27,2022,4,11,Novembro,47,6,Domingo,1
332,2022-11-28,2022,4,11,Novembro,48,0,Segunda,0
333,2022-11-29,2022,4,11,Novembro,48,1,Terca,0
334,2022-11-30,2022,4,11,Novembro,48,2,Quarta,0
335,2022-12-01,2022,4,12,Dezembro,48,3,Quinta,0
336,2022-12-02,2022,4,12,Dezembro,48,4,Sexta,0
337,2022-12-03,2022,4,12,Dezembro,48,5,Sabado,1
338,2022-12-04,2022,4,12,Dezembro,48,6,Domingo,1
339,2022-12-05,2022,4,12,Dezembro,49,0,Segunda,0
340,2022-12-06,2022,4,12,Dezembro,49,1,Terca,0
341,2022-12-07,2022,4,12,Dezembro,49,2,Quarta,0
342,2022-12-08,2022,4,12,Dezembro,49,3,Quinta,0
343,2022-12-09,2022,4,12,Dezembro,49,4,Sexta,0
344,2022-12-10,2022,4,12,Dezembro,49,5,Sabado,1
345,2022-12-11,2022,4,12,Dezembro,49,6,Domingo,1
346,2022-12-12,2022,4,12,Dezembro,50,0,Segunda,0
347,2022-12-13,2022,4,12,Dezembro,50,1,Terca,0
348,2022-12-14,2022,4,12,Dezembro,50,2,Quarta,0
349,2022-12-15,2022,4,12,Dezembro,50,3,Quinta,0
350,2022-12-16,2022,4,12,Dezembro,50,4,Sexta,0
351,2022-12-17,2022,4,12,Dezembro,50,5,Sabado,1
352,2022-12-18,2022,4,12,Dezembro,50,6,Domingo,1
353,2022-12-19,2022,4,12,Dezembro,51,0,Segunda,0
354,2022-12-20,2022,4,12,Dezembro,51,1,Terca,0
355,2022-12-21,2022,4,12,Dezembro,51,2,Quarta,0
356,2022-12-22,2022,4,12,Dezembro,51,3,Quinta,0
357,2022-12-23,2022,4,12,Dezembro,51,4,Sexta,0
358,2022-12-24,2022,4,12,Dezembro,51,5,Sabado,1
359,2022-12-25,2022,4,12,Dezembro,51,6,Domingo,1
360,2022-12-26,2022,4,12,Dezembro,52,0,Segunda,0
361,2022-12-27,2022,4,12,Dezembro,52,1,Terca,0
362,2022-12-28,2022,4,12,Dezembro,52,2,Quarta,0
363,2022-12-29,2022,4,12,Dezembro,52,3,Quinta,0
364,2022-12-30,2022,4,12,Dezembro,52,4,Sexta,0
365,2022-12-31,2022,4,12,Dezembro,52,5,Sabado,1
